ID,y
1,77.39707
2,98.36857
3,78.52764
4,77.37896
5,112.31739
8,90.607704
10,102.6061
11,95.33632
12,117.08387
14,96.30244
15,115.35115
16,104.21439
17,100.99526
19,92.75387
20,100.53508
21,102.57228
22,116.56873
23,101.060776
26,101.22694
28,95.8646
29,101.060776
33,101.060776
35,93.96158
41,100.99526
42,94.31272
43,115.5021
45,104.991295
46,102.17537
51,93.113396
53,82.89512
55,111.4854
56,101.94848
57,107.222336
58,97.25666
59,102.418236
63,103.23923
64,95.55991
65,99.97904
69,95.898094
71,99.616005
72,102.897964
73,93.48384
76,102.46725
77,96.60623
78,115.88034
82,93.53171
83,99.97904
84,103.81935
85,104.67209
87,112.08278
88,100.99526
89,111.21347
91,99.62828
93,100.87198
94,104.684654
95,95.37888
96,112.45715
97,90.48952
98,106.65601
99,98.27438
101,104.683174
103,111.21347
104,95.121
105,109.54419
110,96.01439
111,102.3894
113,102.76551
114,94.744316
115,115.94371
117,111.21347
120,95.051155
121,113.014496
122,91.43538
123,104.50529
126,109.62581
132,109.482834
135,108.63564
137,100.58954
138,95.82209
140,100.51047
142,112.06449
144,112.181465
148,93.34966
149,104.67427
155,95.56615
156,111.59904
157,90.48952
162,113.2508
163,94.65216
167,98.689926
172,115.5021
179,106.04043
180,92.38201
181,108.06954
182,97.19154
183,111.21347
185,111.21347
187,104.99301
188,91.767075
189,94.996864
191,92.527794
192,103.926
193,92.19152
194,109.14703
195,95.9063
196,98.02028
198,106.796425
199,111.62226
201,100.13298
204,96.477684
205,104.725555
206,107.1695
210,98.72256
211,104.683174
216,113.213875
219,117.08387
220,94.94754
221,109.37271
226,108.06954
227,95.67556
228,111.00951
230,110.85356
231,90.48952
235,116.56873
236,96.545006
238,111.28589
242,103.98962
243,93.906975
244,78.59612
245,111.53036
247,117.07865
248,95.88336
249,92.22525
250,113.339294
251,96.545006
253,116.56873
254,95.290764
256,93.503006
257,92.910736
258,107.119316
259,97.28489
262,88.219
266,98.41911
267,117.00527
272,102.464195
273,111.21347
275,94.05109
276,110.232346
279,93.77528
280,99.97904
283,92.46163
285,112.07448
288,111.21347
289,113.49128
290,99.70211
291,96.82805
292,104.47946
293,105.08197
296,96.29776
297,107.716736
298,114.572
299,93.53171
304,94.05253
305,89.31958
306,102.7871
307,108.09653
311,104.432
313,108.93172
314,92.93723
316,109.726
324,109.12746
327,98.71314
329,93.64918
330,109.28676
337,97.54209
338,96.63662
339,99.77779
340,94.47083
343,93.17118
345,115.35115
346,95.870735
347,111.16275
349,111.96387
350,92.26883
352,103.31991
353,93.244606
354,87.7172
357,94.649086
358,107.50709
362,107.20872
364,107.83258
365,103.69855
366,104.38191
367,106.5361
368,94.51074
370,79.31092
373,100.12447
377,95.88088
378,105.67251
382,102.46725
384,112.24545
390,96.52887
392,112.0518
393,110.39285
395,94.85344
396,97.11586
399,79.56442
406,108.93172
408,108.93172
409,96.02928
410,79.69179
412,114.040146
413,90.23127
419,94.71295
420,106.27372
421,90.64794
430,105.68598
434,92.933876
436,97.13355
437,99.97313
438,90.890564
439,112.18121
440,101.08594
443,100.39647
446,96.5907
448,93.12378
452,94.93885
453,107.025566
457,100.56503
458,94.65397
459,116.08032
460,105.46975
462,103.78264
464,99.74947
465,117.08387
467,113.29471
471,105.65185
472,77.36788
473,103.89588
475,96.79847
480,100.393906
488,107.84716
490,108.09653
491,104.34574
492,79.835106
493,94.33025
497,92.54724
498,105.282646
499,94.56215
500,102.06507
501,95.33047
502,108.3776
506,86.99233
510,106.556175
511,91.95228
512,94.68286
516,103.75447
518,97.68789
519,110.49967
521,90.280754
522,112.22619
526,112.31337
529,103.43548
532,109.5464
533,94.76408
536,112.65983
537,95.33348
539,93.360634
540,104.360176
541,97.55035
543,96.95275
546,108.62931
547,97.166176
548,90.59587
551,95.77709
552,106.487656
556,100.91678
557,97.24714
558,106.5361
559,96.965614
560,103.449684
562,103.82976
566,97.91395
570,105.282646
571,99.97313
572,99.97904
573,92.26457
575,117.08387
576,112.656525
577,93.4478
579,91.23802
580,116.217255
581,108.935425
589,108.09653
591,106.36348
593,92.898705
594,102.52547
595,94.53088
598,95.38484
602,108.86996
604,113.46595
606,110.97077
608,104.62798
609,104.683174
610,95.88039
616,106.53827
617,95.512146
618,106.07151
620,106.70826
622,104.07452
623,89.959145
624,107.64234
626,111.09599
628,109.03506
629,95.73029
630,110.85356
637,92.30374
638,101.154366
643,104.440475
645,100.393906
646,114.50383
648,94.24117
652,101.12595
653,100.589096
654,105.282646
656,109.789154
657,104.28505
659,95.15863
660,112.12834
663,95.691216
664,109.75262
666,108.057
668,105.16165
669,94.73957
671,95.50163
675,92.404495
677,97.161995
678,107.60562
